mode,episode,success,insertion_time_s,peak_contact_force_N,rms_contact_force_N,peak_torque_Nm,jam,target_translation_displacement_m,target_rotation_displacement_deg,target_peak_linear_velocity_mps,target_peak_angular_velocity_dps,relative_final_position_error_m,relative_final_orientation_error_deg,final_insertion_depth_m,final_stage,contact_steps,target_final_linear_velocity_mps,target_final_angular_velocity_dps
floating_zero_velocity,20360873,0,9.6,10.633072802275061,0.8944530230239767,0.2848624811898876,1,0.1692527441368283,0.28065469112516583,0.0431894154629042,1.835913490360078,0.0014640471113088536,0.7640415974308388,0.027136469868083945,INSERTION,19,0.01662957294048293,9.798713292781705e-12
floating_zero_velocity,20360874,0,9.6,9.140419552998415,0.2679456501049336,0.2622458102496182,0,0.02622691171641435,0.0327121500558572,0.010110951362858127,1.2620703617001108,0.003676588399559245,0.6748977407733727,0.02984939431674206,INSERTION,2,0.00031851541913341895,7.14215740439771e-131
floating_zero_velocity,20360875,1,2.248,14.567555912378245,1.5780367347873538,0.3467649623966706,0,0.015941310257904847,0.14414796416044207,0.03891557277752939,1.5110764011387905,0.0075714891517519286,2.697034015473374,0.030063175883534226,SUCCESS,10,0.037993059354870226,0.05704447320018988
floating_zero_velocity,20360876,0,9.6,20.589559547841176,1.6753873510668749,0.5061248117178906,1,0.1908853154574557,0.4334382622397199,0.06346734685579855,2.837541186234651,0.008684279551189975,3.931987991296848,0.030417144330891346,INSERTION,44,0.062335575462384864,0.09899101842445963
floating_zero_velocity,20360877,1,1.1520000000000001,9.429529450894577,0.9620708770484288,0.2096757609928427,0,0.0029094309804843337,0.025613646452196392,0.005967714648426568,0.667839722857373,0.0020034904127191485,1.1685368565872418,0.030014207028385944,SUCCESS,3,0.005739537693286199,0.010034622314806934
floating_zero_velocity,20360878,1,7.5680000000000005,20.233494815044875,0.9908282233325824,0.48100738256249476,0,0.037736704260213284,0.07612581188954633,0.022905778506757114,2.772084440282627,0.007396867246582054,2.336670471864398,0.03001728051776113,SUCCESS,6,0.022837189823226797,1.6363675455795808
floating_zero_velocity,20360879,1,7.728,21.94706047302528,1.7211599866140437,0.5068128334870877,1,0.060009161641996156,0.13168944725531237,0.02005596238897277,2.2246999330038633,0.007514625642366347,2.799178922574214,0.030004673188459546,SUCCESS,19,0.017452510292238405,0.040638766416931475
floating_zero_velocity,20360880,1,1.24,10.175596951530027,0.8173236154590261,0.12337400899238951,0,0.006239647742245713,0.033239453326756624,0.008328294790229755,1.1460066964672124,0.006585093780745358,2.291419989548155,0.03000824674602681,SUCCESS,1,0.0060061340694042165,2.0439565815338258e-13
floating_zero_velocity,20360881,0,9.6,8.330460658283567,0.34902922538321735,0.18874117172310517,0,0.030245163382850555,0.04966980295161602,0.01140190031678357,0.9677387354049608,0.003477817632615333,1.071121394048443,0.029864663461179105,INSERTION,3,0.0004053376659484742,1.845044985838771e-109
floating_zero_velocity,20360882,0,9.6,10.36998844636943,0.29935578105023497,0.29561529988552177,0,0.026437060656099527,0.041007524634474206,0.010223694088536584,1.6821722405022739,0.0017663362736238903,1.7935101883931992,0.029878374566127918,INSERTION,1,0.00032110265081870636,2.3036788984360185e-130
floating_zero_velocity,20360883,0,9.6,22.413018149265255,1.0374844565408559,0.5356851962670776,0,0.06285424939259807,0.08580997790863178,0.027464539007029755,2.2451615995110883,0.0018702073505586698,0.4093086129292226,0.029840915551710517,INSERTION,10,0.0012502282395034268,3.4147278381134576e-90
floating_zero_velocity,20360884,1,4.92,13.54339089051145,0.5895838782350824,0.2804628723291404,0,0.007364521868225024,0.02229163867067222,0.007595759082104796,0.9619759068706734,0.0062009239591985735,1.0381196403474613,0.030005116659265526,SUCCESS,3,0.0075730144669981184,0.47883582761023147
floating_zero_velocity,20360885,1,7.128,18.42318099496476,0.8544587435735266,0.4293701338808826,0,0.020493414976043428,0.06782153598198365,0.01664519093791206,2.448590924492948,0.005993026345183092,0.8976056991546977,0.030037823290094256,SUCCESS,6,0.013763921934976978,0.8303314223011866
floating_zero_velocity,20360886,0,9.6,5.157993661955625,0.2319869395811131,0.151690332422778,0,0.020513313667603127,0.03471175145922928,0.007905702104419808,0.9575177099453774,0.0003136945002261817,0.47369036851235746,0.029843619696195558,INSERTION,3,0.0002497935847526821,1.4578640032316004e-130
floating_zero_velocity,20360887,1,1.096,14.076823291536455,1.4171186873919368,0.34858148270662054,0,0.005776249368829767,0.02275180449800398,0.009195305914796725,0.7865650128411018,0.007200151720386977,1.9319620046587458,0.030003113463723582,SUCCESS,3,0.006704812300732239,0.11699167689195845
